date,approve_estimate
1/23/17,46
1/24/17,46
1/25/17,48.61617
1/26/17,44.62692
1/27/17,44.38777
1/28/17,44.38777
1/29/17,44.74559
1/30/17,44.67257
1/31/17,45.01149
2/1/17,45.86395
2/2/17,45.88868
2/3/17,46.21463
2/4/17,46.21463
2/5/17,46.77325
2/6/17,46.66296
2/7/17,46.92523
2/8/17,46.69795
2/9/17,46.23419
2/10/17,46.21808
2/11/17,46.31055
2/12/17,46.31055
2/13/17,45.41359
2/14/17,46.16746
2/15/17,46.32353
2/16/17,46.53775
2/17/17,46.66242
2/18/17,46.48179
2/19/17,46.48179
2/20/17,45.56286
2/21/17,45.53262
2/22/17,44.294
2/23/17,44.84227
2/24/17,44.86759
2/25/17,44.86759
2/26/17,44.86759
2/27/17,44.77391
2/28/17,44.69143
3/1/17,45.15903
3/2/17,45.23322
3/3/17,45.63852
3/4/17,45.63852
3/5/17,45.63852
3/6/17,45.36596
3/7/17,45.46577
3/8/17,45.37472
3/9/17,45.35116
3/10/17,45.5193
3/11/17,45.73587
3/12/17,45.73587
3/13/17,45.58329
3/14/17,45.47269
3/15/17,44.59151
3/16/17,44.63105
3/17/17,44.47798
3/18/17,44.47798
3/19/17,44.47798
3/20/17,44.52505
3/21/17,44.61454
3/22/17,44.10851
3/23/17,44.11869
3/24/17,44.35612
3/25/17,44.35612
3/26/17,44.35612
3/27/17,44.28436
3/28/17,43.37658
3/29/17,43.23234
3/30/17,42.78091
3/31/17,41.77287
4/1/17,41.77287
4/2/17,41.77287
4/3/17,41.49263
4/4/17,41.28366
4/5/17,41.72259
4/6/17,41.74047
4/7/17,41.51286
4/8/17,41.51286
4/9/17,41.51286
4/10/17,41.39298
4/11/17,42.56668
4/12/17,42.83318
4/13/17,42.90318
4/14/17,42.73984
4/15/17,42.73984
4/16/17,42.73984
4/17/17,43.4188
4/18/17,43.50145
4/19/17,44.00313
4/20/17,44.05973
4/21/17,44.04811
4/22/17,44.04811
4/23/17,44.04811
4/24/17,44.23955
4/25/17,43.502
4/26/17,44.06063
4/27/17,43.94151
4/28/17,44.18594
4/29/17,44.18594
4/30/17,44.18594
5/1/17,44.12144
5/2/17,44.19493
5/3/17,44.34391
5/4/17,44.23395
5/5/17,44.06768
5/6/17,44.32235
5/7/17,44.32235
5/8/17,44.14452
5/9/17,44.17577
5/10/17,42.81641
5/11/17,42.88606
5/12/17,42.59069
5/13/17,42.59069
5/14/17,42.85477
5/15/17,42.67153
5/16/17,41.78514
5/17/17,41.0498
5/18/17,40.4189
5/19/17,39.62964
5/20/17,39.62964
5/21/17,39.62964
5/22/17,39.63826
5/23/17,40.24492
5/24/17,39.81437
5/25/17,39.91333
5/26/17,40.22279
5/27/17,40.15144
5/28/17,40.15144
5/29/17,40.06456
5/30/17,40.42588
5/31/17,40.34653
6/1/17,40.30403
