publish_date,title
2/7/17,"Betsy DeVos Confirmed as Education Secretary, With Pence Casting Historic Tie-Breaking Vote"
2/7/17,Melania Trump Says White House Could Mean Millions for Brand
2/7/17,"As Trump Fears Fraud, GOP Eliminates Election Commission"
2/7/17,Appeals Court to Decide on Challenge to Trump's Immigration Executive Order
2/7/17,At Least 4 Tornadoes Reported in Southeast Louisiana
2/7/17,Mother of Backpacker Slain in Australia Criticizes Trump
2/7/17,Trump's Labor Secretary Pick Andrew Puzder Admits to Employing Undocumented Worker
2/7/17,Iran's Top Leader Mocks 'Newcomer' Trump
2/7/17,EU to Britain: Pay Up for What You Ordered Before Leaving
2/7/17,Multi-State Manhunt in Southeast Intensifies for Alleged Murderer and Accomplice
2/7/17,Flu Takes a Toll in NYC With 4 Children Reported Dead in Seasonal Outbreak
2/7/17,Romania Protests Endure as President Says Country in Crisis
2/7/17,Hillary Clinton Releases Video Statement: 'Future Is Female'
2/7/17,Homeland Security Secretary John Kelly Defends Travel Ban but Regrets Quick Rollout
2/7/17,2 Other Times Kellyanne Conway Referred to Bowling Green 'Massacre' or 'Attack'
2/7/17,Trump Says 'Very Dishonest Press Does Not Want to Report' on Terror
2/7/17,Tom Brady Says Wife Gisele Bundchen Wants Him to Retire
2/7/17,"Texas Rangers to Help Search for Tom Brady's Stolen Super Bowl Jersey, Lt. Gov. Says"
2/7/17,"Putin Not a Friend, Poisoned Russian Activist's Wife Tells Trump"
2/7/17,Dept. of Justice Cites 'National Security' in Calling for Trump Immigration Order Reinstatement
2/7/17,Betsy DeVos confirmed as education secretary; vice president casts historic tie-breaking vote
2/7/17,Trump watch: Live coverage
2/7/17,A vote for DeVos is a vote for resegregation
2/7/17,"Trump 'shows true face of US,' says Iran's Supreme Leader"
2/7/17,Al Qaeda leader mocks Trump after Yemen raid
2/7/17,Trump teeing up a softer diplomatic approach with Japan
2/7/17,Journalists call out White House claims on terror reporting
2/7/17,Trump travel ban oral arguments: what you need to know
2/7/17,"People appalled by corruption bill, Romanian President says"
2/7/17,Barack Obama's kitesurfing adventure with Richard Branson
2/7/17,"Male contraceptive gel effective in monkeys, but will it work in humans?"
2/7/17,Man arrested over Australia vs. New Zealand 'bug gate' case
