date,approve_estimate,frequency
2017-01-23,46.0,4
2017-01-24,46.0,1
2017-01-25,48.61617,1
2017-01-26,44.62692,1
2017-01-27,44.38777,1
2017-01-28,44.38777,1
2017-01-29,44.74559,1
2017-01-30,44.67257,2
2017-01-31,45.01149,4
2017-02-01,45.86395,2
2017-02-02,45.88868,2
2017-02-03,46.21463,2
2017-02-04,46.21463,2
2017-02-05,46.77325,1
2017-02-06,46.66296,1
2017-02-07,46.92523,5
2017-02-08,46.69795,5
2017-02-09,46.23419,5
2017-02-10,46.21808,5
2017-02-11,46.31055,5
2017-02-12,46.31055,5
2017-02-13,45.41359,5
2017-02-14,46.16746,5
2017-02-15,46.32353,2
2017-02-16,46.53775,2
2017-02-17,46.66242,3
2017-02-18,46.48179,2
2017-02-19,46.48179,2
2017-02-20,45.56286,1
2017-02-21,45.53262,2
2017-02-22,44.294,2
2017-02-23,44.84227,2
2017-02-24,44.86759,3
2017-02-25,44.86759,1
2017-02-26,44.86759,1
2017-02-27,44.77391,1
2017-02-28,44.69143,1
2017-03-01,45.15903,1
2017-03-02,45.23322,2
2017-03-03,45.63852,2
2017-03-04,45.63852,5
2017-03-05,45.63852,4
2017-03-06,45.36596,6
2017-03-07,45.46577,6
2017-03-08,45.37472,2
2017-03-09,45.35116,1
2017-03-10,45.5193,2
2017-03-11,45.73587,2
2017-03-12,45.73587,2
2017-03-13,45.58329,1
2017-03-14,45.47269,3
2017-03-15,44.59151,3
2017-03-16,44.63105,3
2017-03-17,44.47798,3
2017-03-18,44.47798,3
2017-03-19,44.47798,2
2017-03-20,44.52505,4
2017-03-21,44.61454,1
2017-03-22,44.10851,4
2017-03-23,44.11869,2
2017-03-24,44.35612,1
2017-03-25,44.35612,1
2017-03-26,44.35612,1
2017-03-27,44.28436,1
2017-03-28,43.37658,1
2017-03-29,43.23234,2
2017-03-30,42.78091,2
2017-03-31,41.77287,1
2017-04-01,41.77287,1
2017-04-02,41.77287,1
2017-04-03,41.49263,1
2017-04-04,41.28366,3
2017-04-05,41.72259,2
2017-04-06,41.74047,2
2017-04-07,41.51286,2
2017-04-08,41.51286,2
2017-04-09,41.51286,2
2017-04-10,41.39298,2
2017-04-11,42.56668,1
2017-04-12,42.83318,1
