published_date,title,domain
2018-06-18 18:14:44,Ethiopia: The Cradle of Culture invites you!,702.co.za
2018-06-19 07:14:17,Katutura hospital smothers Windhoek,namibian.com.na
2018-06-19 07:29:02,"Ever wanted a 13-month year? Well, the Ethiopians have one",capetalk.co.za
2018-06-20 08:50:21,World Refugee Day in Ethiopia - Africa's second largest refugee hosting country,capetalk.co.za
2018-06-22 11:20:07,Why you should invest in Ethiopia,702.co.za
2018-08-07 03:37:12,Things to know about the Philippine System (PhilSys) ID,untvweb.com
2018-08-25 09:02:54,Duterte appoints De Castro as new SC Chief Justice,untvweb.com
2018-10-01 10:30:13,Tanzania's Jokate Mwegelo on inspiring Africa's youth,702.co.za
2018-11-12 15:45:00,Bali Nine member Renae Lawrence set to be released,dailytelegraph.com.au
2019-01-16 00:17:29,No need for birth certificates in renewal of passports — DFA,untvweb.com
2019-02-22 13:46:09,Botswana Considers Culling Elephants and Using the Meat For Pet Food,thedailybeast.com
2019-04-19 08:52:31,The Namibian Newspaper Cup soccer tournament kicks-off,namibian.com.na
2019-04-23 04:08:29,LOOK: Passengers crowd NAIA after 6.1 quake shuts down Clark International Airport,untvweb.com
2019-04-27 12:42:42,Pets now allowed inside PUVs—LTFRB,untvweb.com
2019-05-01 14:04:56,PM halts plan to build restaurant on Bali Bombing site,dailytelegraph.com.au
2019-06-06 11:24:47,CS Rotich appoints Mburu KRA Commissioner General,standardmedia.co.ke
2019-06-19 12:51:30,Simulation Passed off as Mt Sinabung’s Eruption in Indonesia,thequint.com
2019-06-21 12:59:57,Couple goals: Governor Mutua's sweet congratulatory message to wife on her graduation,standardmedia.co.ke
2019-07-10 06:20:31,DILG chief commends new Metro Manila mayors for good performance,untvweb.com
2019-07-18 04:59:29,Body positivity: Lynda Nyangweso opens up about facing body-shamers,standardmedia.co.ke
2019-07-18 06:38:28,"Sara, Baste Duterte to skip father's fourth SONA",untvweb.com
2019-07-29 14:09:23,DOLE to assist workers displaced by PCSO gaming ban,untvweb.com
2019-09-14 14:39:15,Ongwediva inaugurates new junior council,namibian.com.na
2019-10-03 09:59:31,Students at Starehe Girls Centre sent home after health scare,standardmedia.co.ke
2019-10-29 15:12:03,DFA consular services in parts of Mindanao suspended due to quake,untvweb.com
2019-11-05 05:59:48,Duterte appoints Robredo as co-chair of Inter-Agency Committee on Anti-Illegal Drugs,untvweb.com
2019-11-12 05:02:45,LPA now tropical depression 'Ramon',untvweb.com
2019-11-28 04:14:48,'Kammuri' intensifies into a typhoon as it nears PH,untvweb.com
2019-12-03 10:41:23,World Bank says Tanzania's GDP to grow faster in 2020,moneyweb.co.za
2019-12-10 11:10:02,Otjiwarongo councillor Neumbo dies in crash,namibian.com.na
2019-12-12 13:12:43,Indonesia president defends nickel export curbs after EU complaint at WTO,auto.economictimes.indiatimes.com
2019-12-30 01:41:03,Turnaround in 2020,thenews.com.pk
2020-01-06 12:01:47,PH Supreme court affirms dismissal of petition for same-sex marriage,untvweb.com
2020-01-11 08:54:46,Celebrated news anchor Anjlee Gadhvi succumbs to cancer,standardmedia.co.ke
2020-01-14 12:18:01,Tanzanian Artist Looks to Grow His Brand,africa.com
2020-01-20 12:32:02,98% of residents in 14-kilometer danger zone evacuated —DILG,untvweb.com
2020-01-21 02:48:21,Man raped woman as she slept on sofa with young daughter,news.stv.tv
2020-02-20 07:52:45,DOJ orders NBI to probe slay of suspended BuCor exec,untvweb.com
2020-02-26 12:26:47,"Duterte accepts ABS-CBN apology, won't interfere with franchise issue",untvweb.com
2020-03-06 10:39:31,PH's first local COVID-19 case initially admitted at Cardinal Santos Medical Center,untvweb.com
2020-03-06 23:04:05,"House Committee Slams Boeing's 'Concealment' Culture, FAA's 'Insufficient' Oversight for 737 Max Crashes",thedailybeast.com
2020-03-09 01:02:56,COVID-19 cases in the Philippines rise to 10,untvweb.com
2020-03-09 12:11:36,LIST: Class suspensions due to coronavirus threat,untvweb.com
2020-03-10 04:49:02,FDA allows use of COVID-19 test kits developed by local scientists,untvweb.com
2020-03-10 14:20:22,Sotto vows to uphold Senate independence after seeking SC ruling on treaty abrogation,untvweb.com
2020-03-13 08:44:35,Batanes gov't implements temporary travel restriction from March 16-April 16,untvweb.com
2020-03-15 07:16:33,Davao City now under community quarantine over COVID-19 fears,untvweb.com
2020-03-16 08:07:34,Morning closure for magistrate courts,namibian.com.na
2020-03-16 16:21:52,Duterte urges employers to release pro-rated 13th month pay amid COVID-19 crisis,untvweb.com
2020-03-18 05:22:22,Indonesia president considers cutting fuel price amid coronavirus,energy.economictimes.indiatimes.com
2020-03-25 10:00:28,Indonesia's health system on the brink as coronavirus surge looms,health.economictimes.indiatimes.com
2020-03-28 03:06:57,COVID-19 cases in QC reaches 97 with 14 deaths,untvweb.com
2020-03-30 04:21:33,Palace disagrees with claims community quarantine is ineffective vs COVID-19,untvweb.com
2020-04-01 12:40:59,"DOLE: Workers may directly file for P5,000 cash aid",untvweb.com
2020-04-03 04:37:41,Philippines eyes COVID-19 mass testing on April 14,untvweb.com
2020-04-07 18:16:02,The 52nd African Country Records Covid-19 Cases,africa.com
2020-04-10 05:28:05,440 Filipino cruise ship members from US back in PH — DFA,untvweb.com
2020-04-12 07:34:37,OCD to lead government contact tracing efforts – IATF,untvweb.com
2020-04-14 09:22:32,Manila LGU to enforce new restrictions in Blumentritt markets,untvweb.com
2020-04-15 08:13:54,"DILG asks 3 governors, 2 mayors to explain alleged violation of ECQ rules",untvweb.com
2020-04-17 13:11:11,"9 inmates at QC Jail, 9 BJMP personnel test positive for COVID-19",untvweb.com
2020-04-17 14:56:04,Duque on Marikina City COVID-19 testing center: one of the best I've seen,untvweb.com
2020-04-21 05:31:17,Davao Mayor Sara Duterte calls out 'fault finders' of gov't anti-COVID-19 efforts,untvweb.com
2020-04-22 05:19:27,Duterte's decision on fate of Luzon quarantine possible on Thursday — Go,untvweb.com
2020-04-22 13:55:44,PH garment exporters group donates PPEs to PGH amid COVID-19 crisis,untvweb.com
2020-04-22 16:14:26,South Africans stuck in Bali share their stories in desperate video plea to govt,capetalk.co.za
2020-04-23 08:54:00,A tale of the African Elephants NK#71357,newkerala.com
2020-04-23 11:26:44,PH Army orders probe on death of ex-soldier shot by cop in QC,untvweb.com
