Topic,Total,ABC,CBS,NBC
2016 Donald Trump campaign,1144,434,317,393
2016 Hillary Clinton campaign,506,199,149,159
Mosquitoes spread Zika virus,255,57,124,75
Syria civil war: Siege of Aleppo,238,26,139,74
Rio de Janeiro Olympic Games,230,62,40,128
Trump Administration transition,225,79,76,70
Winter weather,212,91,53,68
Gay club massacre in Orlando,163,50,66,47
Hurricane Matthew,158,55,46,56
2016 Republican Convention,137,38,50,48
Brussels terrorist bomb attacks,132,46,43,43
Secy of State Clinton e-mails,130,39,50,41
Russian cyberespionage hacking,129,30,45,55
2016 General Election held,127,43,43,41
2016 Bernie Sanders campaign,115,26,52,37
Iraq civil war: Battle of Mosul,115,18,66,31
2016 Presidential debates,111,39,32,40
2016 Iowa caucuses,106,38,29,39
2016 Democratic Convention,103,39,29,35
Tornado season,101,49,27,26
