date,frequency
1/10/2019,2
1/10/2020,1
1/11/2017,2
1/11/2018,2
1/11/2020,1
1/12/2017,4
1/12/2018,2
1/12/2019,1
1/13/2019,1
1/14/2019,2
1/15/2020,3
1/16/2019,1
1/16/2020,2
1/17/2019,3
1/17/2020,1
1/18/2018,2
1/18/2019,3
1/19/2017,1
1/2/2017,1
1/2/2019,2
1/2/2020,4
1/20/2017,1
1/20/2019,2
1/21/2016,1
1/21/2019,1
1/21/2020,4
1/22/2017,1
1/22/2020,2
1/23/2017,4
1/23/2018,1
1/23/2020,1
1/24/2017,1
1/24/2018,1
1/24/2020,1
1/25/2017,1
1/25/2018,1
1/25/2019,1
1/25/2020,2
1/26/2017,1
1/26/2018,6
1/27/2018,3
1/27/2019,1
1/27/2020,3
1/28/2020,3
1/29/2018,3
1/29/2019,1
1/29/2020,1
1/3/2018,1
1/3/2019,1
1/3/2020,1
1/30/2017,2
1/30/2018,5
1/30/2020,5
1/31/2017,4
1/31/2020,5
1/4/2018,1
1/5/2018,3
1/5/2019,2
1/6/2018,1
1/7/2018,1
1/7/2019,1
1/9/2019,2
10/1/2018,1
10/1/2019,5
10/10/2019,7
10/10/2020,3
10/11/2017,3
10/11/2018,1
10/11/2019,4
10/12/2016,1
10/13/2019,2
10/14/2016,1
10/14/2019,2
10/14/2020,4
10/15/2018,1
10/15/2019,1
10/16/2017,1
10/16/2018,1
10/16/2019,1
10/16/2020,4
10/17/2016,1
10/17/2019,2
10/18/2019,2
10/19/2019,2
10/2/2019,5
10/2/2020,1
10/20/2020,3
10/21/2016,5
10/22/2016,2
10/22/2019,6
10/23/2019,3
10/24/2016,1
10/24/2019,2
10/24/2020,1
10/25/2016,1
10/26/2016,1
10/26/2018,3
10/27/2017,2
10/27/2019,1
10/28/2016,1
10/28/2019,1
10/29/2018,1
10/29/2019,4
10/29/2020,3
10/3/2016,1
10/3/2019,7
10/30/2016,1
10/30/2017,1
10/30/2019,1
10/30/2020,2
10/31/2016,1
10/31/2017,2
10/31/2019,4
10/4/2019,2
10/5/2018,1
10/5/2019,3
10/6/2018,1
10/6/2019,1
10/7/2019,1
10/8/2019,2
10/8/2020,1
10/9/2019,3
10/9/2020,1
11/1/2018,2
11/1/2019,1
11/10/2019,1
11/10/2020,1
11/11/2016,2
11/11/2019,1
11/11/2020,1
11/12/2019,2
11/13/2016,1
11/13/2018,1
11/13/2019,4
11/13/2020,1
11/14/2016,1
11/14/2017,1
11/14/2018,2
11/14/2019,3
11/15/2016,1
11/15/2019,3
11/16/2017,1
11/16/2018,2
11/16/2019,2
11/16/2020,1
11/17/2019,1
11/17/2020,2
11/18/2016,1
11/18/2019,4
11/19/2018,3
11/19/2019,2
11/20/2018,3
11/20/2019,4
11/20/2020,2
11/21/2016,1
11/21/2018,1
11/21/2019,5
11/21/2020,1
11/22/2016,2
11/22/2017,1
11/22/2019,3
11/22/2020,1
11/23/2018,1
11/24/2019,1
11/24/2020,2
11/25/2018,1
11/26/2019,4
11/27/2018,1
11/27/2019,2
11/28/2016,1
11/29/2018,1
11/29/2019,1
11/3/2017,3
11/3/2019,1
11/3/2020,1
11/30/2018,2
11/30/2019,1
11/30/2020,3
11/4/2016,2
11/4/2019,2
11/6/2018,1
11/6/2019,2
11/6/2020,1
11/7/2017,1
11/7/2020,2
11/8/2016,1
11/8/2017,2
11/8/2018,2
11/8/2019,1
11/9/2016,2
11/9/2018,4
11/9/2020,1
12/1/2016,1
12/1/2018,1
12/10/2018,5
12/10/2019,2
12/11/2016,1
12/11/2017,1
12/11/2018,1
12/11/2019,2
12/11/2020,1
12/12/2016,1
12/12/2017,1
12/12/2018,2
12/12/2019,2
12/12/2020,1
12/13/2016,2
12/13/2018,2
12/13/2019,2
12/14/2016,1
12/14/2018,3
12/14/2019,1
12/15/2016,1
12/15/2017,2
12/15/2019,1
12/16/2016,1
12/16/2019,1
12/17/2016,1
12/18/2016,1
12/18/2017,1
12/18/2020,3
12/19/2016,1
12/19/2017,1
12/19/2019,5
12/19/2020,1
12/2/2019,1
12/2/2020,2
12/20/2016,2
12/20/2018,4
12/20/2019,4
12/21/2017,2
12/21/2018,4
12/21/2019,1
12/22/2020,2
12/28/2020,1
12/29/2017,1
12/29/2018,2
12/3/2019,2
12/3/2020,1
12/31/2016,2
12/31/2017,1
12/4/2017,4
12/4/2019,3
12/5/2017,2
12/5/2019,3
12/5/2020,1
12/6/2017,1
12/6/2018,1
12/6/2019,1
12/6/2020,2
12/7/2016,1
12/7/2018,1
12/8/2018,1
12/8/2019,2
12/9/2016,1
12/9/2019,2
12/9/2020,1
2/1/2017,2
2/1/2018,1
2/1/2020,3
2/10/2018,1
2/11/2020,1
2/12/2018,2
2/12/2020,2
2/13/2020,2
2/14/2020,2
2/15/2017,2
2/15/2019,2
2/15/2020,1
2/16/2017,2
2/16/2018,1
2/17/2017,3
2/18/2017,2
2/18/2019,1
2/19/2017,2
2/19/2019,1
2/19/2020,1
2/2/2017,2
2/2/2018,5
2/20/2017,1
2/20/2020,5
2/21/2017,2
2/21/2018,2
2/21/2020,1
2/22/2019,2
2/23/2016,1
2/24/2016,1
