date,headline,polarity,subjectivity
date,headline,0.0,0.0
1/2/2016,Why are there no staff black cartoonists at a time when we need them most?,0.16666666666666669,0.4666666666666667
1/3/2016,Dark‚ Funds May Bode Ill in 2016 Election,-0.5,1.0
1/4/2016,Past events,-0.25,0.25
1/5/2016,Great people in history have done horrible things. Should we stop honoring them?,-0.09999999999999998,0.875
1/6/2016,Here are three ways that Star Wars is a neoconservative universe,0.0,0.0
1/6/2016,Avoiding the Dreaded Second-Term Curse‚,0.0,0.0
1/7/2016,Chicagoland 2015 notable deaths,0.5,0.5
1/13/2016,The Republican Party‚s 50-State Solution,0.0,0.0
1/18/2016,Decades TV network will air vintage episodes of The Dick Cavett Show‚,0.0,0.0
1/19/2016,Op-Ed: The logic behind conspiracy theories,-0.4,0.7
1/19/2016,"Dark Money,‚ by Jane Mayer",-0.15,0.4
1/21/2016,Op-Ed: Don‚t be fooled by Trump or Sanders &ndash; there is no such thing as an authentic‚ candidate,0.0,0.5
1/22/2016,Hotel and Tour News: Watergate Makeover; Opera in Germany,0.0,0.0
1/26/2016,Prisons are full of low-level offenders. It‚s time to rethink federal sentencing laws.,0.35,0.55
1/29/2016,"State workers ‚Äî but not residents ‚Äî in Flint, Mich., have been getting purified water for more than a year",0.5,0.5
1/30/2016,Iowa Will Gauge Ardor to Upend Politics as Usual,-0.25,0.25
2/1/2016,Top Chef‚ alum Timothy Dean sues landlord for discrimination,0.5,0.5
2/1/2016,Assessment of Flint Water Crisis May Hinge on Stupidity vs. Criminality,-0.6,1.0
2/2/2016,Presidential deceptions ‚Äî and their consequences (video),0.0,0.0
2/2/2016,"Follow the money,‚ say ads funded by big-money groups",0.0,0.0
2/4/2016,"Leonard Downie on his former boss, Ben Bradlee",0.0,0.0
2/4/2016,Ben Bradlee and the best damn job in the world‚,1.0,0.3
2/4/2016,Novelist Ward Just on Ben Bradlee: Editing was his highest and best calling‚,1.0,0.3
2/4/2016,That time Ben Bradlee performed with the London Symphony,0.0,0.0
2/4/2016,Two scenes of Ben Bradlee at work in The Post newsroom,0.0,0.0
2/4/2016,I was the last reporter Ben ever hired‚,0.0,0.06666666666666667
2/4/2016,David Remnick on Ben Bradlee: He was the most alive presence‚,0.3,0.45
2/4/2016,Leibovich: Ben Bradlee epitomized a much more confident time in American journalism‚,0.3333333333333333,0.4444444444444445
2/4/2016,President Obama on Ben Bradlee: A true newspaperman‚,0.35,0.65
2/4/2016,"Remembering Ben Bradlee: Courageous, tenacious, unforgettable‚",0.0,0.0
2/6/2016,"Marlow W. Cook, Senator Who Groomed Mitch McConnell, Dies at 89",0.0,0.0
2/6/2016,"Hillary Battles Bernie Sanders, Chick Magnet",0.0,0.0
2/7/2016,Supreme Court to render a verdict on Obama‚s use of executive authority,0.0,0.0
2/8/2016,Obama Revives the Republican Glory Years of Sunnylands Estate,0.0,0.0
2/9/2016,"RIP, BEN BRADLEE: Drawing on my favorite conversation with The Post legend [AN ILLUSTRATED TRIBUTE]",0.5,1.0
2/9/2016,Public campaign funding is so broken that candidates turned down $292 million in free money,-0.03888888888888889,0.3888888888888889
2/12/2016,"Films once were an escape from work. Now, they celebrate it. What gives?",0.0,0.0
2/13/2016,From the archives: BFFs Ruth Bader Ginsburg and Antonin Scalia agree to disagree,0.0,0.0
2/18/2016,Why Justice Scalia was staying for free at a Texas resort,0.4,0.8
2/19/2016,Bound for Glory‚ on Video: This Land Was Guthrie‚s Land,0.0,0.0
2/22/2016,Why haven‚t Flint residents fled?,0.0,0.0
2/23/2016,NYT source requests anonymity for fear of Trump lawsuit,0.0,0.0
2/24/2016,"A Watergate icon, now quietly celebrated in a company office",0.35,0.75
2/24/2016,Looking On the Bright Side of Trump,0.7000000000000001,0.7999999999999999
2/26/2016,Perspective | The real reason Donald Trump is winning: No one thought it was possible,0.2333333333333333,0.6833333333333332
2/26/2016,Will superdelegates pick the Democratic nominee? Here‚s everything you need to know.,0.0,0.0
2/26/2016,"Justice, in Sketches",0.0,0.0
2/26/2016,Scalia Took Dozens of Trips Funded by Private Sponsors,0.0,0.375
2/26/2016,Reimagining the Record,0.0,0.0
2/27/2016,Perspective: Spotlight‚ makes journalism great again with a savvy Oscars campaign,0.8,0.75
2/27/2016,"Elias Demetracopoulos, 87, Dies; Journalist Linked Greek Junta to Nixon",0.0,0.0
2/28/2016,Spotlight‚ wins Oscar for original screenplay at the Academy Awards,0.3375,0.475
2/29/2016,One-third of all U.S. presidents appointed a Supreme Court justice in an election year,0.0,0.0
3/2/2016,Which Writer‚s Journals Are Worth Reading?,0.3,0.1
3/3/2016,Kevin Spacey enters Race for the White House‚ at CNN,0.0,0.0
3/4/2016,Which of these 23 things was the MOST Obama‚s Katrina‚s moment? No one can decide.,0.5,0.5
3/4/2016,Want to live like a king or queen? Set your sights on this 1890 castle in Bethesda.,0.13636363636363635,0.5
3/4/2016,Olamendi‚s restaurant is rooted in history and popular cuisine,0.6,0.9
3/5/2016,The Rise of Antipolitics,0.0,0.0
3/6/2016,"Nancy Reagan, an Influential and Protective First Lady, Dies at 94",0.25,0.3333333333333333
3/9/2016,Let Inspectors General Do Their Job,0.05000000000000002,0.5
3/14/2016,Highlights from Jill Abramson‚s commencement address at Wake Forest,0.0,0.0
