Date,Frequency
1/1/2017,
1/1/2019,
1/10/2017,
1/10/2018,
1/10/2019,0.6666666666666666
1/10/2020,0.5
1/11/2017,0.6666666666666666
1/11/2018,0.5
1/11/2019,
1/11/2020,0.5
1/12/2017,0.8
1/12/2018,0.6666666666666666
1/12/2019,0.2
1/12/2020,
1/13/2016,
1/13/2017,
1/13/2018,
1/13/2019,0.3333333333333333
1/13/2020,
1/14/2019,0.25
1/14/2020,
1/15/2019,
1/15/2020,0.42857142857142855
1/16/2019,0.3333333333333333
1/16/2020,0.2857142857142857
1/17/2018,
1/17/2019,0.42857142857142855
1/17/2020,0.25
1/18/2016,
1/18/2017,
1/18/2018,0.5
1/18/2019,0.75
1/18/2020,
1/19/2016,
1/19/2017,0.3333333333333333
1/19/2018,
1/19/2019,
1/2/2016,
1/2/2017,1.0
1/2/2018,
1/2/2019,0.6666666666666666
1/2/2020,0.8
1/20/2017,0.3333333333333333
1/20/2018,
1/20/2019,0.5
1/20/2020,
1/21/2016,1.0
1/21/2019,0.5
1/21/2020,0.4444444444444444
1/22/2016,
1/22/2017,1.0
1/22/2018,
1/22/2019,
1/22/2020,0.25
1/23/2017,1.0
1/23/2018,0.5
1/23/2019,
1/23/2020,0.14285714285714285
1/24/2017,0.5
1/24/2018,0.2
1/24/2019,
1/24/2020,0.25
1/25/2017,0.25
1/25/2018,0.16666666666666666
1/25/2019,0.16666666666666666
1/25/2020,0.5
1/26/2016,
1/26/2017,0.3333333333333333
1/26/2018,0.8571428571428571
1/26/2019,
1/27/2017,
1/27/2018,0.75
1/27/2019,0.25
1/27/2020,1.0
1/28/2019,
1/28/2020,0.375
1/29/2016,
1/29/2018,0.6
1/29/2019,0.3333333333333333
1/29/2020,0.2
1/3/2016,
1/3/2017,
1/3/2018,0.25
1/3/2019,0.2
1/3/2020,1.0
1/30/2016,
1/30/2017,0.4
1/30/2018,0.45454545454545453
1/30/2019,
1/30/2020,0.7142857142857143
1/31/2017,0.3333333333333333
1/31/2018,
1/31/2019,
1/31/2020,0.5555555555555556
1/4/2016,
1/4/2017,
1/4/2018,0.16666666666666666
1/4/2019,
1/5/2016,
1/5/2018,0.6
1/5/2019,0.6666666666666666
1/6/2016,
1/6/2018,0.5
1/6/2019,
1/7/2016,
1/7/2018,1.0
1/7/2019,0.25
1/8/2018,
1/8/2020,
1/9/2017,
1/9/2018,
1/9/2019,0.5
10/1/2018,1.0
10/1/2019,0.7142857142857143
10/1/2020,
10/10/2018,
10/10/2019,0.6363636363636364
10/10/2020,1.0
10/11/2016,
10/11/2017,0.75
10/11/2018,0.25
10/11/2019,0.4
10/11/2020,
10/12/2016,0.5
10/12/2017,
10/12/2018,
10/12/2020,
10/13/2016,
10/13/2017,
10/13/2018,
10/13/2019,0.4
10/13/2020,
10/14/2016,0.5
10/14/2018,
10/14/2019,0.6666666666666666
10/14/2020,0.8
10/15/2018,1.0
10/15/2019,0.3333333333333333
10/15/2020,
10/16/2016,
10/16/2017,0.5
10/16/2018,0.3333333333333333
10/16/2019,1.0
10/16/2020,0.5714285714285714
10/17/2016,1.0
10/17/2018,
10/17/2019,0.2857142857142857
10/18/2016,
10/18/2018,
10/18/2019,0.2222222222222222
10/19/2016,
10/19/2017,
10/19/2018,
10/19/2019,0.5
10/19/2020,
10/2/2019,0.8333333333333334
10/2/2020,0.3333333333333333
10/20/2019,
10/20/2020,0.75
10/21/2016,0.8333333333333334
10/21/2018,
10/22/2016,0.6666666666666666
10/22/2018,
10/22/2019,0.6
10/23/2016,
10/23/2017,
10/23/2018,
10/23/2019,0.42857142857142855
10/24/2016,0.5
10/24/2017,
10/24/2018,
10/24/2019,0.3333333333333333
10/24/2020,1.0
10/25/2016,0.5
10/25/2018,
10/25/2019,
10/25/2020,
10/26/2016,0.5
10/26/2017,
10/26/2018,0.5
10/26/2019,
10/27/2016,
10/27/2017,0.6666666666666666
10/27/2019,0.3333333333333333
10/27/2020,
10/28/2016,0.125
10/28/2018,
10/28/2019,0.25
10/28/2020,
10/29/2016,
10/29/2017,
10/29/2018,1.0
10/29/2019,0.8
10/29/2020,1.0
10/3/2016,0.3333333333333333
10/3/2019,0.7
10/30/2016,1.0
10/30/2017,0.2
10/30/2018,
10/30/2019,0.3333333333333333
10/30/2020,0.5
10/31/2016,0.14285714285714285
10/31/2017,0.6666666666666666
10/31/2018,
10/31/2019,0.6666666666666666
10/31/2020,
10/4/2016,
10/4/2018,
10/4/2019,0.4
10/5/2017,
10/5/2018,1.0
10/5/2019,0.75
10/6/2016,
10/6/2017,
10/6/2018,0.5
10/6/2019,1.0
10/6/2020,
10/7/2018,
10/7/2019,0.25
10/7/2020,
10/8/2017,
10/8/2018,
10/8/2019,0.2857142857142857
10/8/2020,0.5
10/9/2016,
10/9/2017,
10/9/2018,
10/9/2019,0.375
10/9/2020,0.25
11/1/2016,
11/1/2017,
11/1/2018,0.4
11/1/2019,0.5
11/10/2017,
11/10/2018,
11/10/2019,0.5
11/10/2020,0.3333333333333333
11/11/2016,0.5
11/11/2018,
11/11/2019,0.2
11/11/2020,0.5
11/12/2016,
11/12/2018,
11/12/2019,0.3333333333333333
11/12/2020,
11/13/2016,0.5
11/13/2017,
11/13/2018,0.3333333333333333
11/13/2019,0.4
11/13/2020,1.0
11/14/2016,0.5
11/14/2017,0.25
11/14/2018,0.25
11/14/2019,0.3
11/15/2016,1.0
11/15/2017,
11/15/2018,
11/15/2019,0.25
11/16/2016,
11/16/2017,0.3333333333333333
