Date,Frequency
1/10/2017,1
1/10/2019,1
1/10/2020,1
1/12/2019,1
1/13/2017,1
1/18/2019,1
1/21/2020,2
1/24/2018,1
1/25/2018,2
1/26/2018,1
1/28/2019,1
1/3/2019,1
1/30/2018,1
1/4/2018,1
1/5/2018,1
1/6/2018,1
1/9/2019,1
10/1/2019,2
10/10/2019,2
10/11/2017,1
10/12/2020,1
10/14/2016,1
10/14/2020,1
10/18/2018,1
10/22/2019,1
10/25/2019,2
10/27/2017,1
10/29/2017,1
10/29/2020,1
10/3/2019,1
10/30/2017,1
10/31/2017,1
10/5/2019,1
11/10/2017,1
11/14/2018,1
11/14/2019,1
11/15/2017,1
11/18/2019,1
11/19/2019,1
11/21/2018,1
11/21/2019,2
11/22/2019,1
11/23/2018,1
11/27/2018,1
11/28/2016,2
11/28/2018,1
11/29/2018,1
11/30/2016,1
11/4/2017,1
11/6/2018,1
11/6/2019,2
11/8/2017,2
11/8/2018,1
11/8/2019,2
11/9/2018,1
12/10/2018,2
12/11/2017,1
12/11/2019,1
12/14/2019,1
12/16/2019,1
12/18/2019,2
12/19/2017,1
12/2/2019,1
12/20/2019,1
12/21/2018,1
12/22/2017,1
12/4/2019,1
12/5/2019,1
12/5/2020,1
12/6/2017,1
12/6/2018,1
12/7/2018,1
12/9/2020,1
2/1/2018,1
2/12/2020,1
2/2/2017,1
2/20/2020,1
2/21/2017,1
2/21/2018,1
2/22/2018,1
2/27/2018,1
2/28/2018,1
2/4/2020,1
2/5/2020,1
2/6/2019,1
2/9/2018,1
3/10/2017,1
3/13/2017,1
3/15/2019,1
3/16/2017,1
3/17/2017,1
3/20/2017,1
3/20/2018,1
3/21/2019,1
3/23/2017,1
3/3/2017,1
3/30/2017,1
3/4/2017,1
3/5/2017,2
3/5/2018,1
3/6/2017,6
3/6/2019,1
3/7/2017,1
3/8/2017,1
4/11/2018,2
4/16/2019,1
4/18/2019,1
4/19/2019,3
4/20/2017,1
4/20/2018,1
4/26/2019,1
4/27/2017,2
4/4/2016,1
4/5/2017,1
4/9/2018,1
5/1/2018,1
5/10/2017,6
5/11/2017,2
5/11/2018,1
5/12/2017,3
5/13/2017,1
5/15/2017,4
5/15/2019,1
5/15/2020,1
5/16/2017,1
5/16/2019,1
5/17/2018,1
5/18/2017,1
5/18/2018,1
5/18/2019,1
5/2/2018,1
5/21/2020,1
5/22/2017,1
5/22/2018,2
5/22/2019,1
5/23/2018,1
5/23/2019,1
5/25/2018,1
5/26/2017,1
5/27/2017,1
5/29/2017,1
5/3/2016,1
5/3/2017,1
5/30/2018,1
5/31/2019,2
5/4/2019,1
5/7/2018,1
5/9/2017,3
6/1/2018,1
6/10/2019,1
6/10/2020,1
6/13/2017,1
6/15/2019,1
6/16/2017,1
6/18/2018,1
6/19/2017,2
6/20/2017,1
6/20/2019,2
6/21/2017,1
6/22/2017,1
6/24/2020,1
6/26/2017,1
6/28/2017,1
6/29/2018,1
6/3/2019,1
6/30/2017,1
6/30/2020,1
6/5/2018,1
6/6/2017,2
6/6/2019,1
6/8/2017,4
6/9/2017,1
7/13/2017,1
7/17/2018,1
7/17/2020,137
7/19/2017,1
7/20/2018,1
7/24/2017,1
7/25/2017,2
7/27/2019,1
7/29/2019,1
7/5/2018,1
7/9/2019,1
8/1/2017,1
8/1/2018,1
8/13/2018,1
8/15/2017,1
8/2/2017,1
8/20/2018,1
8/20/2020,1
8/21/2019,1
8/22/2018,1
8/24/2019,1
8/26/2018,1
8/28/2018,1
8/29/2019,1
8/3/2018,1
8/7/2017,1
9/1/2017,1
9/1/2018,1
9/12/2017,1
9/18/2018,1
9/18/2019,1
9/19/2018,1
9/19/2019,1
9/22/2017,1
9/23/2019,1
9/24/2020,1
9/25/2019,1
9/26/2019,1
9/4/2018,2
9/7/2018,1
9/8/2017,2
