Date,Frequency
1/18/2019,1
1/4/2018,1
1/5/2018,1
10/11/2016,1
10/19/2016,1
10/21/2016,4
10/22/2016,1
10/25/2016,1
10/25/2019,1
10/27/2017,1
10/28/2016,5
10/29/2016,2
10/30/2016,1
10/30/2017,1
10/31/2016,4
10/5/2019,1
11/11/2016,2
11/12/2019,2
11/14/2017,1
11/15/2017,1
11/18/2016,1
11/2/2016,1
11/21/2018,1
11/22/2016,2
11/28/2016,1
11/3/2016,2
11/4/2016,1
11/4/2019,1
12/17/2019,1
12/21/2017,1
12/4/2019,1
2/7/2017,1
3/2/2017,1
3/24/2017,1
4/24/2019,1
4/26/2016,1
4/4/2016,1
4/8/2017,1
5/18/2020,1
5/27/2016,2
5/3/2016,1
5/3/2017,1
5/6/2016,1
6/10/2016,1
6/14/2018,1
6/3/2017,1
7/1/2016,1
7/17/2020,2
7/23/2016,1
7/25/2017,1
7/27/2016,1
8/11/2016,1
8/12/2016,1
8/19/2018,1
8/2/2018,1
8/28/2016,1
8/3/2016,1
9/1/2016,1
9/12/2019,1
9/27/2019,1
9/30/2016,1
9/6/2016,1
9/7/2016,1
