Date,Frequency
1/12/2019,1
1/13/2019,1
1/24/2017,1
1/27/2018,1
1/28/2020,1
1/3/2019,1
1/30/2018,1
1/30/2019,1
1/31/2017,1
1/31/2020,2
1/4/2018,2
10/1/2019,1
10/10/2018,1
10/10/2019,1
10/14/2020,1
10/16/2018,1
10/17/2019,1
10/22/2019,1
10/25/2019,1
10/28/2019,1
10/3/2019,1
10/4/2019,1
10/5/2019,1
10/8/2019,1
10/9/2019,1
11/10/2018,1
11/11/2018,1
11/11/2019,1
11/14/2018,1
11/14/2019,1
11/16/2018,1
11/17/2019,1
11/25/2019,1
11/28/2018,4
11/29/2018,1
11/30/2018,1
11/6/2016,1
11/6/2020,1
11/8/2017,1
12/10/2018,1
12/10/2019,1
12/11/2016,1
12/11/2019,1
12/12/2019,1
12/15/2017,1
12/17/2018,1
12/18/2019,1
12/23/2019,2
12/31/2018,1
12/4/2019,1
12/9/2019,1
2/1/2020,1
2/11/2020,2
2/13/2019,1
2/15/2017,1
2/4/2020,1
2/7/2019,1
3/1/2019,1
3/18/2018,1
3/2/2017,1
3/21/2019,1
3/4/2019,3
3/7/2019,1
4/1/2019,1
4/20/2018,1
4/20/2019,1
4/21/2019,1
4/23/2019,1
4/24/2019,2
4/30/2019,1
4/4/2019,1
5/1/2017,1
5/10/2019,1
5/11/2019,1
5/16/2017,1
5/20/2017,1
5/21/2019,2
5/23/2018,1
5/23/2019,1
5/30/2018,1
5/4/2019,1
5/7/2019,1
5/8/2019,2
5/9/2017,2
6/10/2019,3
6/12/2019,1
6/15/2017,1
6/15/2018,1
6/16/2019,1
6/16/2020,1
6/20/2019,1
6/26/2017,1
6/26/2019,2
6/28/2017,1
6/3/2018,1
6/3/2019,1
6/30/2018,1
6/4/2019,1
6/5/2019,1
7/11/2019,2
7/13/2017,1
7/14/2019,1
7/15/2019,1
7/17/2019,1
7/17/2020,3
7/19/2019,1
7/20/2019,2
7/22/2020,1
7/24/2018,1
7/25/2019,1
7/8/2019,1
8/16/2018,1
8/18/2016,1
8/3/2016,1
8/7/2019,1
9/12/2018,1
9/20/2018,1
9/23/2020,3
9/24/2019,2
9/30/2016,1
