Date,Frequency
1/10/2020,2
1/14/2019,1
1/15/2020,4
1/16/2020,2
1/21/2020,4
1/22/2020,2
1/23/2020,1
1/24/2019,1
1/24/2020,1
1/28/2020,1
1/29/2020,3
1/30/2018,1
1/30/2020,3
1/31/2020,4
1/8/2020,1
10/1/2019,3
10/10/2019,4
10/11/2017,1
10/11/2019,2
10/14/2019,1
10/17/2019,1
10/18/2019,3
10/19/2019,1
10/2/2019,2
10/22/2019,4
10/23/2019,2
10/24/2019,2
10/25/2019,4
10/28/2019,1
10/29/2019,2
10/3/2019,1
10/30/2019,1
10/31/2019,2
10/4/2019,2
10/6/2019,1
10/7/2019,1
10/8/2019,3
10/9/2019,2
11/1/2019,1
11/10/2019,1
11/11/2019,2
11/12/2019,3
11/13/2019,7
11/14/2019,6
11/15/2017,1
11/15/2019,3
11/16/2019,2
11/18/2019,2
11/19/2019,1
11/20/2019,5
11/21/2019,6
11/22/2019,2
11/23/2019,1
11/24/2019,1
11/26/2019,2
11/29/2019,1
11/3/2016,1
11/3/2019,1
11/30/2019,1
11/4/2016,1
12/10/2018,1
12/10/2019,1
12/11/2019,4
12/12/2019,4
12/13/2019,2
12/14/2019,3
12/15/2019,2
12/16/2019,1
12/17/2019,1
12/18/2019,4
12/2/2019,2
12/20/2019,1
12/23/2019,2
12/27/2018,1
12/29/2017,1
12/3/2019,2
12/4/2019,5
12/5/2019,5
12/6/2019,1
12/8/2018,1
12/8/2019,2
12/8/2020,1
12/9/2019,1
2/1/2020,2
2/5/2020,1
2/6/2019,1
2/7/2020,1
2/8/2020,1
3/20/2018,1
3/4/2019,1
3/6/2019,1
4/19/2019,1
4/20/2019,1
4/21/2019,1
4/22/2018,1
4/23/2018,1
4/30/2019,1
4/4/2020,1
4/8/2019,1
5/10/2019,1
5/14/2018,1
5/16/2019,1
5/21/2019,2
5/24/2019,2
5/26/2019,1
5/30/2019,2
5/31/2019,1
5/8/2019,1
5/9/2019,1
6/10/2019,1
6/11/2019,2
6/12/2017,2
6/13/2019,1
6/15/2019,1
6/16/2019,1
6/17/2017,1
6/5/2019,1
6/6/2019,2
6/7/2019,1
7/12/2017,1
7/14/2019,1
7/17/2019,1
7/17/2020,9
7/23/2020,1
7/25/2019,1
7/27/2017,1
7/31/2017,1
8/31/2018,1
8/6/2019,1
9/1/2018,1
9/20/2019,1
9/22/2019,1
9/24/2019,4
9/25/2019,6
9/26/2019,6
9/27/2019,2
9/28/2019,1
9/29/2019,3
9/30/2019,2
