Date,Frequency
1/19/2018,1
1/22/2018,1
1/25/2019,1
1/3/2018,1
1/31/2019,1
1/9/2019,1
10/16/2018,1
10/23/2019,1
10/25/2018,1
10/31/2016,1
10/6/2020,1
11/22/2016,1
11/6/2019,1
11/7/2018,1
12/11/2020,1
12/15/2016,1
12/20/2017,1
2/1/2018,1
2/12/2019,1
2/19/2019,1
2/25/2019,1
2/28/2019,1
2/7/2019,2
3/20/2019,1
3/22/2019,2
3/24/2019,1
3/26/2019,1
3/27/2019,1
3/3/2017,1
3/4/2019,1
3/5/2018,1
3/9/2017,1
4/24/2019,1
4/3/2018,1
5/10/2017,2
5/11/2017,1
5/12/2017,3
5/13/2017,1
5/15/2019,1
5/17/2017,1
5/18/2017,2
5/18/2018,1
5/19/2017,1
5/19/2018,1
5/22/2018,3
5/23/2017,1
5/23/2018,1
5/25/2018,1
5/3/2017,1
5/7/2019,1
5/9/2017,2
6/10/2019,1
6/15/2017,1
6/16/2017,1
6/6/2017,1
7/17/2020,1
7/19/2019,1
7/28/2016,1
8/16/2018,1
8/3/2017,1
8/7/2017,1
9/20/2018,1
9/23/2019,1
9/25/2020,1
