Date,Frequency
1/12/2019,1
1/30/2017,1
1/30/2018,1
10/25/2019,1
10/27/2017,1
10/8/2018,1
10/8/2019,1
10/9/2020,1
11/14/2017,1
11/23/2020,1
11/24/2016,1
11/25/2018,1
11/4/2017,1
12/11/2019,1
12/17/2018,1
12/2/2020,1
12/23/2018,1
12/4/2017,3
2/1/2017,2
2/12/2018,1
2/14/2020,1
2/15/2020,1
2/18/2016,1
2/19/2019,1
2/2/2018,1
2/20/2020,1
2/26/2016,1
2/27/2019,1
2/29/2016,1
2/7/2017,1
3/10/2020,1
3/11/2018,1
3/19/2017,1
3/19/2018,1
3/30/2017,1
3/6/2017,1
4/18/2019,1
4/19/2019,2
4/21/2018,1
4/29/2018,1
4/30/2018,1
4/4/2018,1
5/12/2020,1
5/13/2017,1
5/13/2020,1
5/18/2017,1
5/2/2018,1
5/20/2018,1
5/21/2018,2
5/29/2019,1
5/31/2018,1
5/31/2019,2
5/7/2018,1
5/9/2017,1
5/9/2018,1
5/9/2020,1
6/10/2018,2
6/10/2019,3
6/15/2018,1
6/16/2017,1
6/16/2020,1
6/20/2020,1
6/23/2017,1
6/23/2019,1
6/24/2020,3
6/25/2020,1
6/4/2019,1
6/8/2017,1
7/10/2019,1
7/17/2019,1
7/19/2017,1
7/20/2017,1
7/24/2019,1
7/4/2017,1
7/9/2020,1
8/22/2018,1
8/24/2018,1
8/25/2020,1
8/4/2017,1
9/13/2016,1
9/25/2020,1
