Date,Frequency
1/11/2018,1
1/13/2019,1
1/17/2019,1
1/18/2019,1
1/25/2019,1
1/26/2018,4
1/27/2018,2
10/24/2019,1
10/25/2019,1
10/3/2019,1
10/30/2017,1
10/31/2017,3
10/31/2018,1
10/6/2020,1
10/8/2019,1
11/18/2019,2
11/30/2018,1
11/7/2018,2
11/8/2018,2
11/9/2018,2
12/1/2018,2
12/11/2017,1
12/13/2018,1
12/15/2017,1
12/18/2017,1
12/19/2017,1
12/19/2018,1
12/21/2017,1
12/21/2018,1
12/23/2017,1
12/29/2017,1
12/4/2017,1
12/5/2017,1
2/1/2018,1
2/19/2018,1
2/21/2019,1
2/22/2019,2
2/24/2019,1
2/25/2019,2
2/27/2018,1
2/4/2018,1
2/7/2019,2
2/9/2019,1
3/10/2020,1
3/12/2019,1
3/14/2018,1
3/15/2018,1
3/17/2019,1
3/18/2018,2
3/19/2019,1
3/2/2018,1
3/20/2018,1
3/20/2019,2
3/21/2019,1
3/22/2019,6
3/24/2019,2
3/25/2019,2
3/26/2019,2
3/27/2019,2
3/28/2019,1
3/29/2019,1
3/31/2019,1
3/4/2019,1
3/7/2019,1
3/9/2019,1
4/1/2018,1
4/1/2019,2
4/10/2018,2
4/11/2018,6
4/13/2018,1
4/15/2019,2
4/16/2019,1
4/17/2019,1
4/18/2019,9
4/19/2019,5
4/20/2019,3
4/21/2018,1
4/21/2019,1
4/22/2019,1
4/23/2019,2
4/24/2019,1
4/25/2019,1
4/26/2018,1
4/29/2019,1
4/3/2018,1
4/30/2019,1
4/5/2018,1
4/7/2019,1
4/8/2019,1
4/9/2019,1
5/16/2018,1
5/17/2017,1
5/17/2018,1
5/18/2017,1
5/18/2018,1
5/2/2019,3
5/20/2020,1
5/21/2019,1
5/22/2018,1
5/23/2018,1
5/25/2018,1
5/29/2019,1
5/3/2018,2
5/3/2019,1
5/30/2019,1
5/31/2019,1
5/4/2019,2
5/6/2019,2
5/7/2018,1
5/8/2019,2
5/9/2019,2
6/10/2019,4
6/13/2017,5
6/14/2017,1
6/16/2017,3
6/16/2020,1
6/17/2018,1
6/2/2018,2
6/2/2019,1
6/21/2017,1
6/23/2017,1
6/24/2019,2
6/26/2019,2
6/28/2019,1
6/3/2019,1
6/4/2018,1
6/5/2018,1
6/9/2019,1
7/10/2019,1
7/11/2019,1
7/11/2020,1
7/12/2018,1
7/13/2020,1
7/14/2019,1
7/15/2018,1
7/17/2018,1
7/17/2020,10
7/19/2019,1
7/2/2020,1
7/20/2017,1
7/20/2019,2
7/24/2017,1
7/24/2019,6
7/25/2019,3
7/26/2019,1
7/5/2017,1
7/8/2019,1
7/9/2019,1
8/1/2019,1
8/17/2018,1
8/18/2018,2
8/19/2018,3
8/22/2018,1
8/3/2017,1
8/31/2018,1
8/7/2018,1
8/9/2018,1
9/11/2017,1
9/14/2018,1
9/26/2017,1
9/4/2018,1
9/7/2018,1
