Date,Frequency
1/11/2019,1
1/12/2019,1
1/16/2020,2
1/17/2019,1
1/17/2020,2
1/2/2018,1
1/2/2019,1
1/23/2020,1
1/25/2018,1
1/26/2018,2
1/27/2020,1
1/29/2018,1
1/29/2019,1
1/29/2020,1
1/3/2019,1
1/30/2018,1
1/30/2020,1
1/4/2019,2
1/8/2018,1
1/9/2018,1
10/11/2017,1
10/13/2018,1
10/14/2019,1
10/14/2020,1
10/15/2020,1
10/16/2020,2
10/17/2018,1
10/18/2019,2
10/19/2017,2
10/19/2019,1
10/19/2020,1
10/23/2017,1
10/24/2019,1
10/27/2019,1
10/27/2020,1
10/28/2020,1
10/29/2019,1
10/31/2017,1
10/31/2020,1
10/4/2018,1
10/6/2017,1
11/14/2019,1
11/15/2019,4
11/16/2019,1
11/16/2020,1
11/17/2020,1
11/2/2020,1
11/20/2018,1
11/20/2019,1
11/20/2020,1
11/22/2020,1
11/24/2019,1
11/26/2017,1
11/26/2020,1
11/27/2020,1
11/28/2017,1
11/28/2018,1
11/3/2019,1
11/30/2018,1
11/30/2020,1
11/8/2017,1
11/8/2018,1
11/9/2018,2
12/1/2017,1
12/13/2018,1
12/14/2018,1
12/19/2017,1
12/20/2017,1
12/21/2020,1
12/22/2020,2
12/24/2020,1
12/28/2018,2
12/3/2018,1
12/30/2020,1
12/5/2019,1
12/7/2020,1
2/11/2020,1
2/12/2020,2
2/19/2019,1
2/19/2020,1
2/23/2020,1
2/26/2016,1
2/27/2016,1
2/28/2019,3
2/3/2020,1
2/4/2020,1
2/5/2020,1
2/7/2019,1
2/8/2020,1
3/1/2018,1
3/10/2020,1
3/17/2020,1
3/21/2018,1
3/21/2019,1
3/24/2017,1
3/25/2019,1
3/25/2020,1
3/26/2019,1
3/28/2017,1
3/29/2019,2
3/3/2017,1
3/30/2018,2
3/4/2018,1
3/6/2018,1
3/6/2019,2
3/8/2017,1
3/9/2018,1
4/13/2018,2
4/15/2019,1
4/19/2018,1
4/19/2019,3
4/2/2020,1
4/20/2019,1
4/23/2018,1
4/26/2018,1
4/27/2018,1
4/3/2020,1
4/4/2018,1
4/5/2019,1
4/6/2020,1
4/8/2019,1
5/1/2019,1
5/10/2017,1
5/10/2019,2
5/11/2017,1
5/11/2020,1
5/12/2017,1
5/12/2019,1
5/15/2018,1
5/15/2019,1
5/16/2017,1
5/18/2020,1
5/19/2017,1
5/20/2020,1
5/21/2019,1
5/22/2020,1
5/28/2020,1
5/29/2020,1
5/30/2017,1
5/7/2019,1
5/9/2019,2
6/10/2020,1
6/12/2018,1
6/13/2018,1
6/14/2019,1
6/15/2018,1
6/18/2019,1
6/2/2018,1
6/29/2018,1
6/30/2019,1
6/5/2017,1
6/6/2018,1
6/7/2020,1
6/8/2017,1
6/9/2019,1
6/9/2020,1
7/10/2020,1
7/11/2019,1
7/12/2018,1
7/13/2018,1
7/15/2019,1
7/16/2020,1
7/19/2019,1
7/24/2019,1
7/25/2018,1
7/29/2018,1
7/3/2020,1
7/30/2018,1
7/31/2017,1
7/31/2018,1
8/15/2018,1
8/16/2018,1
8/16/2020,1
8/2/2019,1
8/22/2018,1
8/23/2018,1
8/24/2018,2
8/25/2018,1
8/26/2020,1
8/31/2018,2
8/6/2018,1
8/7/2020,1
8/9/2019,1
9/10/2020,1
9/17/2020,1
9/20/2019,1
9/23/2018,1
9/23/2019,1
9/25/2018,1
9/25/2019,1
9/26/2017,1
9/26/2019,2
9/27/2019,1
9/30/2019,1
9/4/2018,2
9/4/2020,1
9/6/2018,1
9/9/2020,1
