Date,Frequency
1/10/2019,1
1/21/2020,1
1/23/2017,1
1/28/2019,1
1/29/2020,1
1/30/2019,1
1/31/2020,1
1/7/2019,1
10/10/2020,1
10/14/2016,1
10/15/2019,1
10/17/2019,1
10/31/2018,1
10/7/2019,1
11/15/2019,1
11/16/2019,1
11/18/2019,1
11/28/2018,1
11/29/2017,1
11/30/2018,1
11/30/2020,1
11/5/2017,1
12/1/2018,1
12/13/2016,1
12/13/2019,1
12/17/2018,1
12/18/2020,1
12/2/2020,1
2/19/2020,1
2/21/2018,1
2/4/2020,1
2/6/2020,1
2/7/2017,1
3/11/2019,1
3/21/2019,1
3/26/2019,1
3/3/2017,1
3/5/2017,1
4/24/2019,1
4/8/2020,1
5/10/2017,2
5/10/2019,1
5/12/2019,1
5/14/2019,2
5/15/2019,1
5/22/2018,1
5/23/2017,1
5/26/2020,1
5/31/2019,1
6/1/2018,1
6/13/2017,1
6/15/2018,1
6/25/2020,1
6/28/2018,1
6/30/2018,1
6/5/2018,1
6/6/2017,1
6/9/2019,1
7/17/2020,21
7/18/2019,1
7/21/2017,1
7/21/2018,1
7/22/2017,1
7/24/2017,1
8/28/2017,1
8/31/2017,1
8/5/2016,1
9/10/2019,19
9/11/2017,1
9/17/2019,1
9/23/2020,2
9/24/2020,1
9/5/2018,1
9/7/2018,1
