Date,Frequency
1/16/2020,1
1/28/2020,1
1/3/2018,1
1/6/2018,1
10/1/2019,1
10/12/2020,1
10/16/2020,1
10/19/2019,1
10/22/2019,1
10/23/2019,1
10/4/2019,1
11/1/2019,1
11/10/2018,1
11/10/2020,1
11/14/2019,1
11/16/2018,1
11/19/2019,2
11/20/2018,1
11/20/2019,1
11/20/2020,1
11/23/2020,1
11/25/2019,1
11/25/2020,1
11/3/2016,1
11/7/2019,1
11/9/2018,1
12/15/2017,1
12/18/2019,1
12/19/2017,1
12/22/2017,2
12/5/2018,1
2/1/2020,1
2/11/2020,1
2/28/2019,1
2/3/2018,1
2/4/2019,1
2/5/2020,1
2/7/2019,1
2/8/2019,1
3/14/2017,1
3/2/2017,1
3/2/2019,1
3/26/2018,1
3/28/2017,1
3/28/2019,1
3/30/2016,1
3/4/2019,1
3/6/2017,1
3/7/2017,2
4/1/2018,1
4/13/2018,1
5/10/2017,2
5/12/2017,1
5/12/2019,1
5/16/2017,1
5/17/2017,2
5/19/2017,1
5/20/2019,1
5/25/2017,1
5/3/2017,1
5/7/2019,1
5/9/2019,1
6/13/2017,1
6/20/2017,1
6/20/2019,1
6/21/2016,1
6/26/2017,1
6/7/2019,1
6/8/2017,2
7/17/2020,12
7/20/2017,1
7/21/2018,1
7/31/2018,1
8/2/2018,1
8/22/2018,2
8/23/2018,1
8/7/2019,1
9/10/2020,1
9/29/2019,2
9/30/2016,1
9/4/2018,1
