Date,Frequency
1/10/2017,1
1/19/2018,1
1/20/2017,1
1/22/2018,1
1/25/2018,1
1/25/2019,1
1/3/2018,1
1/4/2018,1
1/9/2017,1
10/16/2018,1
10/22/2019,1
10/25/2018,1
10/27/2017,1
10/3/2019,1
11/21/2019,2
11/3/2017,1
11/9/2018,1
12/10/2018,1
12/11/2019,2
12/12/2016,1
12/13/2016,1
12/14/2016,1
12/14/2018,1
12/15/2016,1
12/15/2017,1
12/16/2016,2
12/17/2016,1
12/21/2018,2
12/5/2017,1
12/6/2017,1
12/8/2017,1
2/1/2018,1
2/15/2017,3
2/16/2017,3
2/17/2017,1
2/19/2019,1
2/21/2017,1
2/28/2017,1
2/6/2017,16
2/7/2017,56
3/14/2017,1
3/14/2018,1
3/17/2017,1
3/19/2017,1
3/2/2017,2
3/2/2019,1
3/20/2017,3
3/21/2017,1
3/22/2017,1
3/22/2019,2
3/24/2017,2
3/26/2019,1
3/28/2019,1
3/3/2017,3
3/4/2017,1
3/5/2018,1
3/6/2017,1
3/9/2018,1
4/11/2018,1
4/12/2018,1
4/20/2018,2
4/23/2019,1
4/27/2017,1
4/6/2017,1
5/10/2017,7
5/11/2017,1
5/11/2019,1
5/12/2017,3
5/13/2017,1
5/15/2017,2
5/15/2019,1
5/17/2017,1
5/17/2018,1
5/18/2017,2
5/18/2018,2
5/19/2018,1
5/22/2018,1
5/3/2019,1
5/7/2019,1
5/9/2017,2
6/12/2019,1
6/13/2017,2
6/16/2017,1
6/18/2017,1
6/27/2017,1
6/28/2017,1
6/3/2017,1
6/6/2017,1
6/7/2017,1
6/8/2017,1
7/11/2020,1
7/12/2017,1
7/13/2017,1
7/14/2017,1
7/16/2020,1
7/17/2020,4
7/18/2018,1
7/20/2018,1
7/24/2019,1
7/27/2016,1
7/3/2020,1
7/5/2017,2
7/8/2017,1
8/1/2017,1
8/15/2016,1
8/15/2017,1
8/16/2018,1
8/18/2018,1
8/3/2018,1
8/30/2018,1
8/6/2018,1
8/7/2017,1
9/18/2017,1
9/20/2018,2
9/26/2018,1
9/4/2016,2
