Word,Frequency
000,8
10,11
100,9
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
101,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
102,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
103,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
104,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
105,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
106,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
107,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
108,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
109,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
11,3
110,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
111,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
112,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
113,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
114,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
115,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
116,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
117,1
118,1
119,1
12,1
120,2
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
13,4
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
14,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
15,2
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
16,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
17,6
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
18,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
19,22
190,1
191,1
192,1
193,1
1932,3
194,1
195,1
196,1
197,1
198,1
1980,3
199,1
1992,3
20,1
200,1
2000,5
201,1
2016,26
2018,3
202,1
2020,134
2021,4
2024,4
203,1
204,1
205,1
206,1
207,1
208,1
209,1
21,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
22,6
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
23,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
24,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
25,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
26,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
27,1
270,8
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
28,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
29,2
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
30,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
31,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
32,3
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
33,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
34,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
35,4
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
36,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
37,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
38,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
39,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
40,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
41,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
42,2
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
43,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
44,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
45,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
46,1
460,1
461,1
462,1
